id,name,description,url
1,БОЕВИК,"В боевике основное внимание уделяют насилию: поединкам, преследованию, и т.д. Эти фильмы часто обладают высоким бюджетом, наполнены каскадёрскими трюками и специальными эффектами. Фильмы этого жанра часто не обладают запутанным сюжетом, главный герой обычно оказывается перед злом в его самом очевидном проявлении: коррупция, терроризм, похищение, убийство. Не найдя другой выход, главный герой решает прибегнуть к насилию. В результате уничтожению подвергаются десятки, а иногда и сотни злодеев. Большинство боевиков не рекомендуют к рассмотрению лицам младше 16 лет. Счастливый конец - обязательный признак боевика, «вред должен быть наказан».",action
2,ВЕСТЕРН,"В классических фильмах этого жанра действие происходит на Диком Западе Америки в XIX веке. Конфликт обычно разворачивается между бандой преступников, представителями властей и охотниками за наградой. Как и в обычном боевике, конфликт разрешается насилием со стрельбой. Вестерны пропитаны атмосферой свободы и независимости, характерной для запада Соединённых Штатов.",WESTERN
3,ДЕТЕКТИВ,"Детектив - жанр, произведения которого содержат иллюстрации преступных действий, следующего за ними расследования и определения виновных. У зрителя, как правило, возникает желание провести собственное расследование и выдвинуть собственную версию преступления.",MYSTERY
4,ДРАМА,"Фильмы этого жанра отличаются сюжетностью, конфликтностью действия, множеством диалогов и монологов. Драмы изображают в основном частную жизнь человека и его острый конфликт с обществом, обращая внимание на общечеловеческие противоречия в поведении и поступках конкретных героев фильма.
Трагедия - поджанр драмы. Основой ее также является столкновение личности с миром, обществом, судьбой, борьба сильных характеров и страстей. Но, в отличие от драмы, трагедия обычно завершается гибелью главного героя.",DRAMA
5,ИСТОРИЧЕСКИЕ,"Фильмы этого жанра демонстрируют реально происходившие исторические события. Исторические фильмы обычно высокобюджетны, отличаются красивыми пейзажами, впечатляющими массовками.",HISTORY
6,КОМЕДИЯ,"Главной особенностью комедии является изображение характеров, конфликтов и ситуаций, вызывающих смех зрителей, повышающих настроение.",COMEDY
7,МЕЛОДРАМА,"Произведения этого жанра раскрывают духовный и чувственный мир героев с особенно ярким изображением эмоций на основе контраста: добро и зло, любовь и ненависть и т.п.",ROMANCE
8,ПРИКЛЮЧЕНИЯ,"Приключенческие фильмы отличаются насыщенным сюжетом, постоянной сменой событий, активной деятельностью героев. в отличие от боевика, в приключенческих фильмах внимание обращено на смекалку персонажей, умение перехитрить, обмануть злодея. Герои попадают в сложные ситуции и оригинально выпутываются из них. Счастливый конец часто завершает фильмы этого жанра.",ADVENTURE
9,ТРИЛЛЕР,"Триллер (англ. thrill - трепет) - фильм, вызывающий у зрителя ощущение напряжения, переживания, волнения. Жанр не имеет чётких границ. Часто к триллерам относят детективно-приключенческие фильмы, фильмы ужасов.",THRILLER
10,Аниме,"японская анимация. Отличие её от мультфильмов других стран заключается в ориентированности на подростковую и взрослую аудиторию, «сериальность» и специфическую прорисовку и озвучку персонажей. Это и делает этот жанр таким популярным во всем мире. Сюжеты для аниме берутся из манги (японские комиксы).",anime
11,Биографический,"(от греч. Biographia, bios - жизнь и graphō - пишу) – фильмы этого жанра, как правило, охватывают не всю жизнь человека, а лишь наиболее важные для него годы. Биографические фильмы повествуют о жизни людей, которые оставили след в истории, например, политики, ученые или писатели.",Biographia
12,Военные,"Исторические художественные фильмы, воссоздающие события реально происходившей войны или сражения. В центре внимания сцена главного (батального) сражения, обилие военной техники и спецэффектов. В отечественном кино военным также называют любой фильм о событиях 1941-1945 гг. вне зависимости от присутствия или отсутствия сцен сражения.",Military
13,Детские,"Такие фильмы помогаю зрителям узнать о возможных жизненных ситуациях и демонстрирую примеры того, как можно достойно из них выйти.",Baby
14,Короткометражный,"(от фр. court métrage - короткий метр) – фильм, длина которого не превышает 40-50 минут (в среднем 10-20 минут), а сюжет не ограничен никакими рамками. Большинство режиссеров начинают именно с короткометражек из-за сравнительно низких, в отличие от полнометражного фильма, денежных затрат на производство.",Short
15,Криминал,"(от лат. crimen – преступление) – жанр фильмов, где в основе лежат хитроумные аферы, разборки бандитских группировок, смелые ограбления, остросюжетные погони и борьба с преступным миром.",Crime
16,Мистика,"(от греч. μυστικός — скрытый, тайный) – фильмы, главной нитью в которых является вера в существование потустороннего мира, сверхъестественных сил, с которыми таинственным образом связан и способен общаться человек.",Mystic
17,Музыкальный,"(не путать с театральным жанром мюзикл) – фильм, главные герои которого помимо диалогов исполняю песни (реже танцы) содержание которых дополняют сюжет.",Musical
18,Мультфильм,"Мультфильм, мультипликационный фильм (от слияния лат. multiplicatio — умножение и англ. film — плёнка) – анимационный фильм, предназначенный в большей степени для детской аудитории. Мультики бывают рисованные, пластилиновые, кукольные, компьютерные и песочные.",Cartoon
19,Научно-популярный,"Научно-популярный – фильм, посвященный обнародованию научных сведений, фактов и результатов исследований, описанию на уровне общих понятий научных гипотез, идей, открытий, взглядов. Популяризирует научный подход к восприятию окружающего мира.",Popular_science
20,Нуар,"Нуар (от фр. noir — чёрный) – кинофильмы, в которых присутствует атмосфера пессимизма, недоверия, разочарования и цинизма. К нуару относят голливудские криминальные драмы 1940-х — 1950-х годов, где стираются грани между героем и его антагонистом, действие происходит в тёмно освещенных сценах, как правило, ночных. Типичная характеристика для героинь – лживые и корыстные, которым нельзя доверять.",Noir
21,Семейный,"Семейный – фильм, рассчитанный на любую возрастную аудиторию, и не содержащий сцен непредназначенных для просмотра детьми.",Family
22,Спортивный,"Спортивный – жанр кино, предназначенный для неравнодушных к тому или иному виду спорта зрителей.  Герои спортивных фильмов демонстрируют силу духа, спортивный характер, стремление к победе, самоотдачу.",Sports
25,ФАНТАСТИКА,,
